Active cases, Time (s) 
771,3438424
771,3438673
770,3439898
771,3440166
772,3440577
772,3440690
772,3441101
772,3444009
773,3444073
774,3444089
775,3444199
776,3446133
777,3446442
777,3446533
778,3446997
779,3447576
779,3447685
780,3447836
781,3447966
782,3448098
783,3448140
784,3448246
783,3449019
784,3449116
785,3449740
786,3449812
787,3450925
788,3451395
789,3451511
790,3452163
791,3452559
792,3452571
792,3453448
793,3453556
794,3454116
795,3454613
795,3455402
796,3455415
797,3455843
796,3457286
797,3457324
798,3457650
798,3458640
799,3458845
800,3459565
801,3459579
802,3460372
803,3460503
804,3460561
804,3461305
805,3461788
806,3461882
806,3462071
807,3463027
808,3463344
808,3464010
809,3464287
810,3464320
810,3465077
811,3465184
812,3465541
812,3465759
813,3465907
814,3466166
814,3466296
815,3466455
814,3467841
815,3468217
815,3468278
816,3468391
817,3468542
817,3469124
818,3469353
817,3470282
815,3470981
816,3470998
817,3471097
815,3471694
816,3472017
817,3472448
818,3472933
819,3473259
820,3473376
820,3474177
821,3474772
822,3475067
821,3475779
821,3476181
822,3476211
823,3476444
824,3476805
824,3477055
824,3477725
823,3478657
824,3479078
825,3480444
825,3481060
826,3481116
826,3481679
827,3481687
828,3481687
829,3481864
830,3482230
831,3482833
832,3483349
833,3483435
834,3483538
835,3483769
836,3483878
837,3484046
838,3484423
839,3484536
839,3484983
840,3485392
841,3485737
842,3485830
843,3486051
844,3486659
843,3487765
844,3487991
845,3488080
846,3488337
846,3488722
846,3489202
846,3489595
847,3489844
848,3489904
849,3490364
850,3490730
851,3490804
852,3490863
853,3491411
854,3491689
855,3491953
856,3492060
856,3492139
856,3494559
857,3494582
857,3495707
858,3495872
859,3496236
860,3496523
860,3498145
859,3498323
860,3498648
861,3498733
861,3499533
861,3499768
862,3499905
863,3500648
864,3500799
865,3500933
866,3501508
866,3502154
866,3502661
867,3502755
868,3502860
869,3503011
870,3503830
870,3504329
871,3504543
872,3504681
873,3506159
874,3506215
875,3506324
876,3506515
877,3506695
878,3506859
879,3506865
879,3508940
880,3509128
881,3510391
882,3510557
882,3511022
882,3511149
882,3512575
883,3512878
883,3513007
883,3513607
883,3513829
883,3513851
884,3513887
885,3513900
886,3514323
887,3514591
888,3514672
888,3514831
889,3514972
890,3515708
891,3516054
891,3516240
892,3516847
893,3516867
894,3516900
895,3516920
895,3517189
896,3517521
897,3518064
897,3519130
897,3519496
898,3519608
898,3520105
899,3520400
900,3521154
898,3522135
898,3522308
898,3522513
899,3522542
900,3522902
900,3523000
901,3523001
902,3523375
902,3524157
903,3524179
903,3524338
904,3525003
905,3525077
905,3525665
906,3525992
907,3526016
908,3526662
909,3526896
910,3527210
910,3527839
910,3528571
910,3529431
911,3529493
912,3529750
913,3529838
913,3530219
914,3530622
912,3531591
913,3531742
914,3532256
915,3532905
916,3533043
916,3534202
917,3534694
918,3535330
919,3535555
920,3535766
921,3536211
922,3537173
923,3538119
924,3538520
924,3538646
925,3538661
925,3539511
926,3539697
926,3540179
926,3540881
927,3541062
927,3541550
928,3541782
929,3542015
928,3542343
929,3543005
930,3543021
930,3543754
931,3543970
932,3543990
933,3544132
934,3544554
934,3544694
935,3544867
933,3546021
934,3546275
932,3548085
933,3548327
934,3548492
935,3548922
936,3549113
937,3549435
938,3549484
939,3549684
940,3549790
941,3550160
941,3551014
941,3551552
941,3552380
941,3552769
939,3553461
940,3553613
941,3553869
942,3554741
943,3554767
943,3554896
943,3555450
944,3555555
945,3556167
945,3556559
946,3556690
946,3556948
947,3557172
948,3557293
949,3557396
946,3560348
947,3560517
948,3560689
949,3561179
950,3561195
951,3561231
952,3561399
953,3561408
953,3561694
953,3562276
954,3562431
955,3562476
956,3562602
957,3563182
957,3563490
954,3564564
955,3564792
956,3565037
956,3565940
957,3566318
958,3566445
959,3566739
960,3567009
959,3568047
959,3568074
959,3568238
960,3568374
961,3568400
962,3568439
963,3568569
964,3568727
962,3570002
963,3570062
964,3570144
965,3570344
966,3570573
966,3571024
967,3571054
968,3571415
969,3571585
970,3571734
970,3571752
971,3571850
970,3572239
971,3572792
972,3573245
973,3573316
974,3573868
975,3573900
976,3574019
975,3574601
975,3575068
976,3575405
977,3575412
978,3575422
979,3575726
979,3576039
980,3577345
980,3577660
981,3577806
980,3578819
981,3578890
982,3579429
982,3579451
983,3579464
983,3580291
984,3580590
984,3581035
985,3581117
986,3581373
987,3581658
988,3581818
989,3581918
990,3581921
991,3583122
991,3583354
991,3583574
989,3584823
990,3584874
990,3586068
991,3586263
992,3586531
993,3587079
994,3587235
994,3587334
995,3587847
996,3588016
995,3588474
996,3588671
996,3589083
995,3589944
996,3590236
996,3590377
997,3591338
998,3591545
999,3591853
1000,3591914
1000,3592468
1001,3592510
1001,3592751
1002,3592965
1003,3592984
1003,3593739
1004,3593884
1004,3593891
1004,3594829
1004,3594917
1005,3595476
1006,3595710
1007,3595884
1008,3596115
1009,3596127
1009,3596869
1009,3597379
1010,3597396
1011,3597657
1012,3597864
1013,3598135
1013,3598286
1014,3598393
1015,3598704
1015,3599065
1015,3599065
1016,3599077
1014,3600070
1014,3600624
1015,3600940
1016,3602387
1017,3602481
1018,3602639
1019,3602760
1020,3602792
1021,3602871
1022,3602908
1021,3603912
1022,3604679
1023,3604700
1024,3604855
1024,3605196
1025,3605259
1026,3605324
1027,3605334
1028,3605431
1029,3605448
1030,3605555
1031,3605722
1032,3605813
1033,3605927
1030,3607170
1028,3608781
1029,3609525
1028,3609670
1029,3610032
1030,3610446
1031,3610449
1032,3611108
1031,3611375
1032,3611494
1032,3611712
1033,3611720
1034,3611981
1035,3612703
1035,3613218
1036,3613469
1037,3613607
1038,3613721
1039,3613800
1040,3613934
1040,3614398
1041,3614416
1042,3614541
1041,3615088
1042,3615166
1043,3615239
1043,3616193
1044,3616664
1045,3616896
1045,3617820
1045,3618079
1046,3618667
1047,3619079
1045,3619986
1046,3620001
1045,3620246
1046,3620412
1046,3620581
1047,3620665
1048,3621459
1049,3621805
1050,3622354
1050,3623059
1051,3623250
1051,3624340
1050,3624884
1051,3624937
1052,3625028
1053,3625119
1054,3625705
1055,3625847
1055,3625959
1056,3626343
1057,3626532
1058,3627045
1057,3628200
1058,3628369
1059,3628394
1059,3628959
1060,3629297
1060,3629600
1060,3629989
1061,3630366
1061,3630539
1061,3631115
1062,3631131
1062,3631538
1063,3631657
1063,3631748
1063,3632706
1064,3633182
1063,3633565
1064,3633604
1065,3633640
1066,3633659
1066,3633750
1066,3634388
1067,3634438
1068,3634459
1068,3634844
1069,3634874
1068,3635395
1069,3635449
1069,3635738
1069,3636115
1068,3636200
1069,3636296
1070,3636384
1071,3636394
1072,3636706
1072,3637793
1073,3637842
1073,3637952
1074,3638063
1075,3638262
1076,3638402
1076,3638678
1077,3638918
1076,3639269
1077,3640327
1078,3640379
1075,3641398
1076,3641615
1077,3642078
1078,3642410
1079,3642760
1080,3643082
1081,3643181
1080,3643708
1080,3644279
1081,3644289
1081,3644583
1082,3645223
1083,3645254
1084,3645844
1085,3645984
1085,3646858
1086,3647250
1087,3647989
1088,3648145
1089,3648463
1090,3649271
1091,3649277
1091,3649340
1092,3649506
1093,3649653
1094,3649753
1094,3649959
1095,3650017
1096,3650069
1096,3650354
1097,3651203
1097,3651745
1098,3651899
1099,3652319
1100,3652346
1101,3652756
1101,3653207
1102,3653777
1103,3653802
1104,3654092
1105,3654249
1106,3654439
1107,3654765
1106,3655073
1107,3655156
1108,3655250
1109,3655347
1109,3655473
1110,3655885
1111,3655989
1112,3656224
1113,3656665
1114,3657831
1115,3658035
1116,3659217
1117,3659330
1118,3659926
1119,3660497
1120,3660518
1121,3660578
1122,3660612
1123,3661013
1124,3661807
1125,3662338
1125,3662441
1125,3662636
1125,3662678
1126,3662843
1127,3662951
1128,3662994
1129,3663313
1130,3663711
1129,3664855
1130,3665070
1131,3665127
1132,3665403
1132,3665453
1132,3665928
1132,3666246
1133,3666285
1134,3666303
1134,3666985
1135,3667323
1135,3668680
1134,3669207
1134,3669517
1133,3670627
1134,3670789
1133,3671256
1134,3671779
1135,3672055
1136,3672130
1137,3672140
1138,3673264
1139,3674123
1140,3674367
1140,3674446
1141,3674518
1142,3674558
1142,3674737
1141,3675245
1142,3675250
1143,3675408
1144,3675993
1145,3676272
1146,3676305
1147,3676551
1148,3676686
1146,3677136
1147,3677290
1148,3677372
1146,3677772
1146,3678073
1147,3678365
1146,3679504
1145,3679941
1146,3680050
1147,3680265
1147,3680394
1148,3680936
1149,3681210
1149,3681530
1149,3682292
1150,3682846
1151,3682926
1152,3683161
1153,3683175
1153,3683221
1154,3683856
1155,3683873
1153,3684910
1152,3685744
1153,3686276
1154,3686287
1155,3686352
1156,3686494
1157,3686560
1158,3686639
1159,3686863
1159,3686986
1159,3687061
1160,3687307
1161,3688110
1162,3688620
1162,3688642
1162,3688708
1163,3689318
1164,3690021
1164,3690895
